Price,Close,High,Low,Open,Volume
Ticker,GME,GME,GME,GME,GME
Date,,,,,
2023-01-03,17.200000762939453,19.260000228881836,17.09000015258789,18.639999389648438,5135200
2023-01-04,17.31999969482422,17.93000030517578,16.899999618530273,17.25,3939300
2023-01-05,16.219999313354492,17.260000228881836,15.890000343322754,17.059999465942383,6066200
2023-01-06,16.459999084472656,16.56999969482422,15.40999984741211,16.0,4823400
2023-01-09,16.3799991607666,17.1299991607666,16.360000610351562,16.649999618530273,3522600
2023-01-10,17.770000457763672,18.09000015258789,16.25,16.299999237060547,4402800
2023-01-11,19.040000915527344,20.049999237060547,17.860000610351562,18.190000534057617,8405800
2023-01-12,20.6299991607666,20.6299991607666,18.34000015258789,19.040000915527344,5877300
2023-01-13,20.489999771118164,21.110000610351562,19.799999237060547,19.8799991607666,5494400
2023-01-17,21.799999237060547,21.940000534057617,20.3700008392334,20.489999771118164,5407900
2023-01-18,20.790000915527344,22.149999618530273,20.5,22.010000228881836,5632200
2023-01-19,19.040000915527344,20.450000762939453,18.81999969482422,20.440000534057617,4519200
2023-01-20,19.610000610351562,20.06999969482422,18.899999618530273,19.049999237060547,3564300
2023-01-23,21.65999984741211,22.489999771118164,19.3700008392334,19.5,7181500
2023-01-24,21.399999618530273,22.09000015258789,21.0,21.299999237060547,2381600
2023-01-25,20.229999542236328,20.84000015258789,19.530000686645508,20.59000015258789,3515800
2023-01-26,20.010000228881836,21.170000076293945,19.3799991607666,20.610000610351562,3520000
2023-01-27,22.81999969482422,23.309999465942383,19.40999984741211,19.799999237060547,11897200
2023-01-30,21.25,23.479999542236328,21.1299991607666,22.5,4950600
2023-01-31,21.8700008392334,22.049999237060547,21.299999237060547,21.40999984741211,3128400
2023-02-01,21.829999923706055,22.1200008392334,20.549999237060547,21.489999771118164,4517200
2023-02-02,22.700000762939453,24.399999618530273,22.219999313354492,22.440000534057617,7655700
2023-02-03,22.25,23.93000030517578,21.799999237060547,22.010000228881836,4935900
2023-02-06,23.860000610351562,24.8799991607666,21.770000457763672,21.8799991607666,8708400
2023-02-07,21.219999313354492,23.049999237060547,20.5,23.0,9093700
2023-02-08,21.100000381469727,21.549999237060547,20.610000610351562,21.43000030517578,2846400
2023-02-09,19.670000076293945,21.649999618530273,19.670000076293945,21.25,4497400
2023-02-10,19.270000457763672,20.040000915527344,19.049999237060547,19.559999465942383,2902700
2023-02-13,19.690000534057617,19.940000534057617,19.010000228881836,19.299999237060547,2299300
2023-02-14,19.8700008392334,20.010000228881836,19.100000381469727,19.309999465942383,2746300
2023-02-15,21.799999237060547,21.799999237060547,19.59000015258789,19.799999237060547,7137800
2023-02-16,21.600000381469727,22.420000076293945,20.850000381469727,21.25,3879000
2023-02-17,21.989999771118164,22.06999969482422,21.149999618530273,21.270000457763672,2851000
2023-02-21,20.65999984741211,21.829999923706055,20.6299991607666,21.329999923706055,3100300
2023-02-22,20.520000457763672,21.190000534057617,20.329999923706055,20.530000686645508,2164900
2023-02-23,20.139999389648438,20.8700008392334,19.530000686645508,20.65999984741211,2862000
2023-02-24,19.540000915527344,20.079999923706055,19.540000915527344,19.709999084472656,2277600
2023-02-27,19.100000381469727,19.700000762939453,18.889999389648438,19.610000610351562,4006700
